Date,Adj Close 000969_SZ,Volume 000969_SZ,Adj Close ASM_AX,Volume ASM_AX,Adj Close 000970_SZ,Volume 000970_SZ,Adj Close 300127_SZ,Volume 300127_SZ,Adj Close 000795_SZ,Volume 000795_SZ,Adj Close LYC_AX,Volume LYC_AX,Adj Close MP,Volume MP,Adj Close NEO_TO,Volume NEO_TO,Adj Close 600366_SS,Volume 600366_SS,Adj Close 600259_SS,Volume 600259_SS,Adj Close 002057_SZ,Volume 002057_SZ,Adj Close UUUU,Volume UUUU,Adj Close 300224_SZ,Volume 300224_SZ,Adj Close 002249_SZ,Volume 002249_SZ,Adj Close USD_CNY,Interpolated Demand ev_sales,Interpolated Value ev_sales,Interpolated Value wind_energy,Price (CNY/T)
2022-08-25,9.3,36679237.0,3.53,314942.0,16.25,35283111.0,16.780001,3945100.0,7.41,31182548.0,8.92,4279612.0,37.970001,1647500.0,14.60094,81200.0,12.42,29551587.0,46.169998,5736661.0,12.17,17255942.0,7.33,5895700.0,14.33,12707846.0,6.185918,56790417.0,6.8585,47246.79279,1911596238.0,2202.709151925078,1085000.0
2022-08-26,9.68,46985222.0,3.55,292506.0,16.030001,26037298.0,16.870001,2962252.0,7.38,17264555.0,9.03,6241561.0,36.279999,1269900.0,16.329092,270800.0,12.31,18002378.0,46.689999,5295131.0,12.0,15922680.0,7.04,3048200.0,14.47,17670219.0,6.442022,75808124.0,6.8483,47509.72414,1923621337.0,2212.278894276795,1085000.0
2022-08-27,9.68,46985222.0,3.55,292506.0,16.030001,26037298.0,16.870001,2962252.0,7.38,17264555.0,9.03,6241561.0,36.279999,1269900.0,16.329092,270800.0,12.31,18002378.0,46.689999,5295131.0,12.0,15922680.0,7.04,3048200.0,14.47,17670219.0,6.442022,75808124.0,6.8483,47772.65549,1935646436.0,2221.8486366285124,1075000.0
2022-08-28,9.68,46985222.0,3.55,292506.0,16.030001,26037298.0,16.870001,2962252.0,7.38,17264555.0,9.03,6241561.0,36.279999,1269900.0,16.329092,270800.0,12.31,18002378.0,46.689999,5295131.0,12.0,15922680.0,7.04,3048200.0,14.47,17670219.0,6.442022,75808124.0,6.8483,48035.58685,1947671536.0,2231.418378980229,1075000.0
2022-08-29,9.37,32778960.0,3.39,328611.0,16.26,23895747.0,17.01,2214302.0,7.43,12602100.0,8.83,5005694.0,35.919998,1540300.0,14.512568,649200.0,12.2,14456229.0,45.799999,4773912.0,12.13,16146825.0,7.76,7832600.0,14.65,12267764.0,6.609476,89208810.0,6.8708,48298.5182,1959696635.0,2240.988121331946,1075000.0
2022-08-30,8.97,34880742.0,3.39,217835.0,16.049999,25275942.0,16.940001,1966800.0,7.44,10833798.0,8.62,7408395.0,34.470001,1929000.0,14.011796,189100.0,12.37,18355500.0,45.290001,4901252.0,11.79,13315454.0,7.91,6421000.0,14.3,11335904.0,6.432172,54010851.0,6.907,48561.44955,1971721734.0,2250.557863683663,1075000.0
2022-08-31,8.47,33836767.0,3.43,313662.0,15.55,39028719.0,16.469999,2749632.0,7.07,22344658.0,8.88,5783640.0,34.990002,1374400.0,14.208178,223100.0,11.9,22126799.0,43.950001,5679066.0,11.06,22369232.0,8.12,6680600.0,13.51,18290085.0,6.107116,65830941.0,6.9108,48824.38091,1983746833.0,2260.1276060353803,1075000.0
2022-09-01,8.33,16639556.0,3.43,313662.0,15.45,22540167.0,16.280001,2200586.0,6.91,19242820.0,8.7,5718249.0,32.310001,3087100.0,14.208178,223100.0,11.96,14003198.0,43.560001,4558226.0,11.31,19863897.0,7.25,5850900.0,13.59,9354487.0,6.018465,33103143.0,6.9108,49087.31226,1995771932.0,2269.697348387097,1045000.0
2022-09-02,8.47,17053030.0,9.2,376622.0,15.82,31152146.0,16.49,1584260.0,6.97,11145606.0,8.3,4732527.0,32.119999,1873000.0,17.111746,69900.0,11.96,13986282.0,43.209999,3325090.0,11.38,12810647.0,7.24,3345500.0,13.67,7551764.0,6.038165,24240779.0,6.3657,48903.87708,1987696106.0,2293.243849892473,1020000.0
2022-09-03,8.47,17053030.0,8.69,327492.0,15.82,31152146.0,16.49,1584260.0,6.97,11145606.0,8.3,4732527.0,32.119999,1873000.0,14.41142,110300.0,11.96,13986282.0,43.209999,3325090.0,11.38,12810647.0,7.24,3345500.0,13.67,7551764.0,6.038165,24240779.0,6.3176,48720.44189,1979620279.0,2316.790351397849,1005000.0
2022-09-04,8.47,17053030.0,8.69,327492.0,15.82,31152146.0,16.49,1584260.0,6.97,11145606.0,8.3,4732527.0,32.119999,1873000.0,14.41142,110300.0,11.96,13986282.0,43.209999,3325090.0,11.38,12810647.0,7.24,3345500.0,13.67,7551764.0,6.038165,24240779.0,6.3176,48537.00671,1971544453.0,2340.336852903226,1005000.0
2022-09-05,8.4,13955240.0,5.72,906356.0,15.45,27503038.0,16.41,2087590.0,6.99,8927877.0,8.5,2891775.0,32.119999,1873000.0,11.420885,253500.0,12.06,11341029.0,43.43,6147971.0,11.35,10400704.0,7.24,3345500.0,13.49,10562421.0,6.028315,21104193.0,6.6656,48353.57153,1963468626.0,2363.8833544086024,1005000.0
2022-09-06,8.66,17121336.0,4.53,807056.0,16.040001,35626350.0,17.030001,3551453.0,7.13,13846809.0,8.4,3007294.0,31.23,2489300.0,12.589263,78000.0,12.35,18335117.0,44.48,5777925.0,11.66,20964400.0,7.2,4307000.0,13.87,11817244.0,6.146517,39829384.0,6.6827,48170.13634,1955392799.0,2387.429855913979,1005000.0
2022-09-07,8.89,23236694.0,4.53,807056.0,16.200001,39512143.0,17.27,3428500.0,7.21,17373028.0,8.45,3232090.0,31.66,1891900.0,12.589263,78000.0,12.4,14287983.0,45.119999,5211024.0,11.77,18013947.0,7.3,3158800.0,14.09,15464486.0,6.116966,22997685.0,6.6827,47986.70116,1947316973.0,2410.976357419355,1005000.0
2022-09-08,8.87,17193140.0,4.07,506574.0,15.86,33221452.0,17.120001,6428280.0,7.08,13005748.0,8.57,4739842.0,32.669998,2031600.0,12.94152,32300.0,12.12,11021580.0,44.259998,3343292.0,11.5,14454118.0,7.67,3623800.0,13.8,8647699.0,6.107116,30379894.0,6.7499,47803.26598,1939241146.0,2434.5228589247317,1005000.0
2022-09-09,8.82,11729287.0,3.26,1235450.0,15.73,22006436.0,17.040001,3511966.0,7.13,10805023.0,8.83,5250875.0,33.889999,2074400.0,13.913606,87800.0,12.01,11474614.0,45.02,4624355.0,11.65,13459589.0,7.68,3774800.0,13.82,7725064.0,6.038165,23556731.0,6.9565,47619.8308,1931165320.0,2458.069360430108,1005000.0
2022-09-10,8.82,11729287.0,3.26,1235450.0,15.73,22006436.0,17.040001,3511966.0,7.13,10805023.0,8.83,5250875.0,33.889999,2074400.0,13.913606,87800.0,12.01,11474614.0,45.02,4624355.0,11.65,13459589.0,7.68,3774800.0,13.82,7725064.0,6.038165,23556731.0,6.9565,47436.39561,1923089493.0,2481.615861935484,990000.0
2022-09-11,8.82,11729287.0,1.725,874276.0,15.73,22006436.0,17.040001,3511966.0,7.13,10805023.0,8.83,5250875.0,33.889999,2074400.0,10.265146,47800.0,12.01,11474614.0,45.02,4624355.0,11.65,13459589.0,7.68,3774800.0,13.82,7725064.0,6.038165,23556731.0,7.2482,47252.96043,1915013667.0,2505.16236344086,990000.0
2022-09-12,8.82,11729287.0,1.63,236106.0,15.73,22006436.0,17.040001,3511966.0,7.13,10805023.0,8.82,3834447.0,33.060001,1865100.0,10.374034,102900.0,12.01,11474614.0,45.02,4624355.0,11.65,13459589.0,7.56,2004000.0,13.82,7725064.0,6.038165,23556731.0,6.9663,47069.52525,1906937840.0,2528.7088649462366,990000.0
2022-09-13,8.84,9227967.0,2.88,1510534.0,15.73,21493752.0,16.85,2366300.0,7.14,8698958.0,8.79,5100346.0,32.369999,2038800.0,13.746682,99900.0,11.96,10885228.0,45.200001,5347492.0,11.68,14379805.0,7.14,2315300.0,13.66,9768530.0,6.028315,13951800.0,6.925,46886.09006,1898862014.0,2552.255366451613,990000.0
2022-09-14,8.71,12634205.0,2.89,1042311.0,15.33,30465212.0,16.690001,2369512.0,6.96,12543210.0,8.35,6729697.0,32.369999,1643400.0,13.098623,116700.0,11.69,11584396.0,43.18,11980004.0,11.29,11275425.0,7.24,2425600.0,13.31,9511123.0,5.919963,24819475.0,6.9241,46702.65488,1890786187.0,2575.8018679569896,985000.0
2022-09-15,8.32,19163871.0,2.81,925909.0,14.59,37036490.0,16.17,3165240.0,6.69,19071980.0,8.23,4989617.0,32.07,2622200.0,12.40147,216600.0,11.0,24713634.0,41.029999,10322862.0,10.7,21845585.0,6.73,2887800.0,12.81,15571800.0,5.644157,34502068.0,6.961,46519.2197,1882710360.0,2599.3483694623656,975000.0
2022-09-16,8.05,13574524.0,2.69,3875729.0,14.25,29727693.0,15.65,2121794.0,6.62,10674848.0,7.8,7514432.0,31.379999,5373200.0,12.175632,290100.0,10.7,11096288.0,40.48,5331725.0,10.5,12993441.0,6.51,3003900.0,12.54,8374870.0,5.338801,37749215.0,6.993,46335.78452,1874634534.0,2622.894870967742,970000.0
2022-09-17,8.05,13574524.0,2.69,3875729.0,14.25,29727693.0,15.65,2121794.0,6.62,10674848.0,7.8,7514432.0,31.379999,5373200.0,12.175632,290100.0,10.7,11096288.0,40.48,5331725.0,10.5,12993441.0,6.51,3003900.0,12.54,8374870.0,5.338801,37749215.0,6.993,46152.34933,1866558707.0,2646.4413724731185,970000.0
2022-09-18,8.05,13574524.0,2.69,3875729.0,14.25,29727693.0,15.65,2121794.0,6.62,10674848.0,7.8,7514432.0,31.379999,5373200.0,12.175632,290100.0,10.7,11096288.0,40.48,5331725.0,10.5,12993441.0,6.51,3003900.0,12.54,8374870.0,5.338801,37749215.0,6.993,45968.91415,1858482881.0,2669.9878739784945,955000.0
2022-09-19,7.86,11745333.0,2.68,545106.0,14.12,33486050.0,15.58,1394461.0,6.63,7991333.0,7.76,3048604.0,32.200001,1739000.0,12.28452,186500.0,10.63,10880367.0,40.25,4172797.0,10.45,12705900.0,6.7,1745800.0,12.4,8243400.0,5.2403,22892697.0,6.979,45785.47897,1850407054.0,2693.534375483871,955000.0
2022-09-20,8.13,12756887.0,2.64,577823.0,14.44,25724273.0,15.81,1455561.0,6.81,13704002.0,8.14,5035932.0,31.85,1882500.0,11.848969,142300.0,11.09,15663892.0,41.360001,6735810.0,10.66,11893900.0,6.38,2375600.0,12.79,11414800.0,5.319101,20368346.0,7.0056,45602.04378,1842331228.0,2717.080876989248,955000.0
2022-09-21,8.19,11743525.0,2.63,650914.0,14.63,30924957.0,16.17,2938234.0,6.88,13654548.0,8.1,5172836.0,31.68,1939600.0,11.492608,154300.0,11.19,16143603.0,42.349998,8532514.0,10.57,19928982.0,6.25,2284200.0,13.03,11668657.0,5.427454,20066897.0,7.0172,45418.6086,1834255401.0,2740.627378494624,920000.0
2022-09-22,8.27,11287005.0,2.63,650914.0,14.8,28759413.0,16.01,1900673.0,6.88,9958700.0,8.1,5172836.0,30.549999,1504200.0,11.066957,231900.0,11.3,11259877.0,42.060001,6662264.0,10.8,17316100.0,5.96,2294700.0,13.07,9030256.0,5.437304,16778040.0,7.0479,45235.17342,1826179574.0,2764.17388,895000.0
2022-09-23,8.22,17066953.0,2.47,1030873.0,14.63,46276124.0,16.870001,8942478.0,7.35,74197091.0,7.86,4585814.0,28.889999,3393700.0,10.393832,205600.0,11.15,20360099.0,41.07,6238349.0,10.49,15789721.0,5.59,3717700.0,13.29,19434547.0,5.397902,17252661.0,7.0766,45051.73824,1818103748.0,2787.7203815053763,895000.0
2022-09-24,8.22,17066953.0,2.47,1030873.0,14.63,46276124.0,16.870001,8942478.0,7.35,74197091.0,7.86,4585814.0,28.889999,3393700.0,10.393832,205600.0,11.15,20360099.0,41.07,6238349.0,10.49,15789721.0,5.59,3717700.0,13.29,19434547.0,5.397902,17252661.0,7.0766,44868.30305,1810027921.0,2811.2668830107527,895000.0
2022-09-25,8.22,17066953.0,2.47,1030873.0,14.63,46276124.0,16.870001,8942478.0,7.35,74197091.0,7.86,4585814.0,28.889999,3393700.0,10.393832,205600.0,11.15,20360099.0,41.07,6238349.0,10.49,15789721.0,5.59,3717700.0,13.29,19434547.0,5.397902,17252661.0,7.0766,44684.86787,1801952095.0,2834.813384516129,895000.0
2022-09-26,7.99,15480152.0,2.33,900801.0,14.54,37568515.0,17.190001,9713032.0,7.57,85866125.0,7.39,6720722.0,27.969999,2269000.0,10.126562,274500.0,11.01,13673930.0,40.939999,4989405.0,10.45,10605440.0,5.42,2562200.0,13.1,17969714.0,5.28955,14743245.0,7.1274,44501.43269,1793876268.0,2858.359886021505,895000.0
2022-09-27,8.07,11124197.0,2.36,502605.0,14.88,29518285.0,17.120001,5384928.0,7.47,49583715.0,7.57,6228578.0,27.809999,2549100.0,10.136461,134900.0,11.1,9269327.0,40.860001,4217085.0,10.61,9739261.0,5.74,2960500.0,13.22,11949211.0,5.397902,14752619.0,7.148,44317.99751,1785800442.0,2881.9063875268816,895000.0
2022-09-28,7.68,11215769.0,2.35,432008.0,13.97,44803803.0,15.94,4845112.0,7.09,37153900.0,7.33,4730256.0,28.780001,1996000.0,10.096866,137300.0,10.68,11250202.0,38.669998,6108769.0,10.1,15556750.0,6.25,2906700.0,12.53,10420224.0,5.26,16225672.0,7.1768,44134.56232,1777724615.0,2905.452889032258,895000.0
2022-09-29,7.71,8241353.0,2.33,322294.0,14.24,33780389.0,16.09,3214205.0,7.23,36851286.0,7.66,3934248.0,27.02,2788900.0,9.997877,221600.0,10.85,9267386.0,39.32,4954847.0,10.13,12666850.0,6.04,1886800.0,12.6,7286884.0,5.37,15968365.0,7.199,43951.12714,1769648789.0,2928.999390537634,890000.0
2022-09-30,7.57,8816752.0,2.34,508810.0,13.84,23633199.0,15.44,3231792.0,7.13,23466737.0,7.56,4597310.0,27.299999,1935800.0,10.086967,67200.0,10.51,9468385.0,38.790001,4161084.0,10.09,12009325.0,6.12,5416100.0,12.35,7619404.0,5.29,12478535.0,7.1239,43767.69196,1761572962.0,2952.5458920430106,865000.0
2022-10-01,7.57,8816752.0,9.56,408346.0,13.84,23633199.0,15.44,3231792.0,7.13,23466737.0,7.56,4597310.0,27.299999,1935800.0,18.457067,39200.0,10.51,9468385.0,38.790001,4161084.0,10.09,12009325.0,6.12,5416100.0,12.35,7619404.0,5.29,12478535.0,6.3762,43584.25677,1753497135.0,2976.092393548387,835000.0
