Date,Interpolated Value
2021-05-24,1986.5367801180735
2021-05-25,1959.937123035595
2021-05-26,1934.2435574637852
2021-05-27,1909.5785007076743
2021-05-28,1886.0643700722937
2021-05-29,1863.8235828626762
2021-05-30,1842.9785563838518
2021-05-31,1823.6517079408527
2021-06-01,1805.9654548387098
2021-06-02,1790.0131335597844
2021-06-03,1775.7717572957565
2021-06-04,1763.1892584156349
2021-06-05,1752.2135692884292
2021-06-06,1742.7926222831484
2021-06-07,1734.8743497688024
2021-06-08,1728.4066841144
2021-06-09,1723.337557688951
2021-06-10,1719.6149028614639
2021-06-11,1717.1866520009485
2021-06-12,1716.000737476414
2021-06-13,1716.0050916568705
2021-06-14,1717.1476469113259
2021-06-15,1719.3763356087902
2021-06-16,1722.639090118273
2021-06-17,1726.8838428087838
2021-06-18,1732.0585260493308
2021-06-19,1738.1110722089238
2021-06-20,1744.9894136565729
2021-06-21,1752.6414827612862
2021-06-22,1761.0152118920741
2021-06-23,1770.058533417945
2021-06-24,1779.719379707909
2021-06-25,1789.9456831309747
2021-06-26,1800.6853760561517
2021-06-27,1811.8863908524493
2021-06-28,1823.4966598888768
2021-06-29,1835.4641155344436
2021-06-30,1847.7366901581586
2021-07-01,1860.2623161290323
2021-07-02,1872.9906612794389
2021-07-03,1885.8783352952184
2021-07-04,1898.8836833255773
2021-07-05,1911.9650505197212
2021-07-06,1925.0807820268562
2021-07-07,1938.189222996188
2021-07-08,1951.2487185769228
2021-07-09,1964.2176139182668
2021-07-10,1977.0542541694253
2021-07-11,1989.716984479605
2021-07-12,2002.1641499980115
2021-07-13,2014.3540958738506
2021-07-14,2026.2451672563288
2021-07-15,2037.7957092946515
2021-07-16,2048.9640671380253
2021-07-17,2059.7085859356553
2021-07-18,2069.9876108367475
2021-07-19,2079.7594869905092
2021-07-20,2088.9825595461457
2021-07-21,2097.6151736528623
2021-07-22,2105.615674459865
2021-07-23,2112.9424071163608
2021-07-24,2119.5537167715547
2021-07-25,2125.4079485746533
2021-07-26,2130.463447674862
2021-07-27,2134.6785592213873
2021-07-28,2138.0116283634347
2021-07-29,2140.4210002502105
2021-07-30,2141.8650200309207
2021-07-31,2142.3020328547714
2021-08-01,2141.6903838709677
2021-08-02,2140.013155994151
2021-08-03,2137.352383200699
2021-08-04,2133.8148372324254
2021-08-05,2129.5072898311423
2021-08-06,2124.536512738662
2021-08-07,2119.009277696799
2021-08-08,2113.032356447366
2021-08-09,2106.7125207321747
2021-08-10,2100.156542293038
2021-08-11,2093.4711928717697
2021-08-12,2086.7632442101826
2021-08-13,2080.1394680500885
2021-08-14,2073.7066361333013
2021-08-15,2067.5715202016336
2021-08-16,2061.8408919968983
2021-08-17,2056.6215232609084
2021-08-18,2052.020185735476
2021-08-19,2048.1436511624142
2021-08-20,2045.0986912835372
2021-08-21,2042.9920778406563
2021-08-22,2041.9305825755848
2021-08-23,2042.0209772301355
2021-08-24,2043.3700335461222
2021-08-25,2046.0845232653567
2021-08-26,2050.271218129652
2021-08-27,2056.036889880821
2021-08-28,2063.4883102606773
2021-08-29,2072.7322510110325
2021-08-30,2083.875483873701
2021-08-31,2097.0247805904937
2021-09-01,2112.2869129032256
2021-09-02,2129.72624144536
2021-09-03,2149.237482416969
2021-09-04,2170.6729409097766
2021-09-05,2193.884922015507
2021-09-06,2218.7257308258827
2021-09-07,2245.047672432628
2021-09-08,2272.703051927467
2021-09-09,2301.5441744021227
2021-09-10,2331.42334494832
2021-09-11,2362.192868657781
2021-09-12,2393.7050506222313
2021-09-13,2425.8121959333926
2021-09-14,2458.36660968299
2021-09-15,2491.220596962747
2021-09-16,2524.226462864387
2021-09-17,2557.2365124796343
