Date,Interpolated Value
2020-07-26,1893.0088167533818
2020-07-27,1891.7193101977107
2020-07-28,1890.4298036420394
2020-07-29,1889.1402970863683
2020-07-30,1887.8507905306972
2020-07-31,1886.5612839750258
2020-08-01,1885.2717774193547
2020-08-02,1890.4621868886575
2020-08-03,1895.6525963579604
2020-08-04,1900.8430058272631
2020-08-05,1906.033415296566
2020-08-06,1911.2238247658688
2020-08-07,1916.4142342351715
2020-08-08,1921.6046437044745
2020-08-09,1926.7950531737772
2020-08-10,1931.9854626430802
2020-08-11,1937.1758721123829
2020-08-12,1942.3662815816858
2020-08-13,1947.5566910509885
2020-08-14,1952.7471005202913
2020-08-15,1957.9375099895942
2020-08-16,1963.127919458897
2020-08-17,1968.3183289282
2020-08-18,1973.5087383975026
2020-08-19,1978.6991478668056
2020-08-20,1983.8895573361083
2020-08-21,1989.079966805411
2020-08-22,1994.270376274714
2020-08-23,1999.4607857440167
2020-08-24,2004.6511952133196
2020-08-25,2009.8416046826223
2020-08-26,2015.032014151925
2020-08-27,2020.222423621228
2020-08-28,2025.4128330905307
2020-08-29,2030.6032425598337
2020-08-30,2035.7936520291364
2020-08-31,2040.9840614984391
2020-09-01,2046.174470967742
2020-09-02,2069.759209139785
2020-09-03,2093.3439473118283
2020-09-04,2116.928685483871
2020-09-05,2140.5134236559143
2020-09-06,2164.098161827957
2020-09-07,2187.6829000000002
2020-09-08,2211.267638172043
2020-09-09,2234.852376344086
2020-09-10,2258.437114516129
2020-09-11,2282.021852688172
2020-09-12,2305.606590860215
2020-09-13,2329.191329032258
2020-09-14,2352.7760672043014
2020-09-15,2376.360805376344
2020-09-16,2399.9455435483874
2020-09-17,2423.53028172043
2020-09-18,2447.1150198924734
2020-09-19,2470.699758064516
2020-09-20,2494.2844962365593
2020-09-21,2517.869234408602
2020-09-22,2541.4539725806453
2020-09-23,2565.0387107526885
2020-09-24,2588.6234489247313
2020-09-25,2612.208187096774
2020-09-26,2635.7929252688173
2020-09-27,2659.3776634408605
2020-09-28,2682.9624016129032
2020-09-29,2706.5471397849465
