Date,Interpolated Demand,Interpolated Total Value
2020-08-06,19723.663121748177,827231368.3459105
2020-08-07,19954.509552549425,837053756.6398023
2020-08-08,20185.355983350673,846876144.9336941
2020-08-09,20416.202414151925,856698533.2275858
2020-08-10,20647.048844953173,866520921.5214777
2020-08-11,20877.89527575442,876343309.8153694
2020-08-12,21108.74170655567,886165698.1092612
2020-08-13,21339.588137356917,895988086.403153
2020-08-14,21570.43456815817,905810474.6970447
2020-08-15,21801.280998959417,915632862.9909365
2020-08-16,22032.127429760665,925455251.2848283
2020-08-17,22262.973860561913,935277639.5787201
2020-08-18,22493.82029136316,945100027.8726119
2020-08-19,22724.66672216441,954922416.1665037
2020-08-20,22955.51315296566,964744804.4603955
2020-08-21,23186.35958376691,974567192.7542872
2020-08-22,23417.206014568157,984389581.048179
2020-08-23,23648.052445369405,994211969.3420708
2020-08-24,23878.898876170657,1004034357.6359625
2020-08-25,24109.745306971905,1013856745.9298544
2020-08-26,24340.591737773153,1023679134.2237461
2020-08-27,24571.4381685744,1033501522.517638
2020-08-28,24802.28459937565,1043323910.8115296
2020-08-29,25033.131030176897,1053146299.1054214
2020-08-30,25263.97746097815,1062968687.3993132
2020-08-31,25494.823891779397,1072791075.693205
2020-09-01,25725.670322580645,1082613463.9870968
2020-09-02,25673.530086021507,1079216158.8999894
2020-09-03,25621.389849462365,1075818853.8128817
2020-09-04,25569.249612903226,1072421548.7257742
2020-09-05,25517.109376344088,1069024243.6386666
2020-09-06,25464.969139784946,1065626938.5515592
2020-09-07,25412.828903225807,1062229633.4644517
2020-09-08,25360.688666666665,1058832328.3773441
2020-09-09,25308.548430107527,1055435023.2902366
2020-09-10,25256.40819354839,1052037718.203129
2020-09-11,25204.267956989246,1048640413.1160215
2020-09-12,25152.127720430108,1045243108.028914
2020-09-13,25099.98748387097,1041845802.9418064
2020-09-14,25047.847247311827,1038448497.8546989
2020-09-15,24995.70701075269,1035051192.7675914
2020-09-16,24943.566774193547,1031653887.6804838
2020-09-17,24891.42653763441,1028256582.5933764
2020-09-18,24839.28630107527,1024859277.5062689
2020-09-19,24787.146064516128,1021461972.4191613
2020-09-20,24735.00582795699,1018064667.3320538
2020-09-21,24682.86559139785,1014667362.2449462
2020-09-22,24630.72535483871,1011270057.1578387
2020-09-23,24578.58511827957,1007872752.0707312
2020-09-24,24526.444881720432,1004475446.9836236
2020-09-25,24474.30464516129,1001078141.8965161
2020-09-26,24422.16440860215,997680836.8094087
2020-09-27,24370.02417204301,994283531.7223011
2020-09-28,24317.88393548387,990886226.6351936
2020-09-29,24265.743698924733,987488921.548086
2020-09-30,24213.60346236559,984091616.4609785
2020-10-01,24161.463225806452,980694311.373871
2020-10-02,24249.324807492198,984456058.2024974
2020-10-03,24337.18638917794,988217805.0311239
2020-10-04,24425.047970863685,991979551.8597503
2020-10-05,24512.909552549427,995741298.6883767
2020-10-06,24600.771134235172,999503045.517003
2020-10-07,24688.632715920918,1003264792.3456296
2020-10-08,24776.49429760666,1007026539.174256
2020-10-09,24864.355879292405,1010788286.0028824
2020-10-10,24952.217460978147,1014550032.8315089
2020-10-11,25040.079042663892,1018311779.6601353
2020-10-12,25127.940624349634,1022073526.4887617
2020-10-13,25215.80220603538,1025835273.317388
2020-10-14,25303.663787721125,1029597020.1460146
2020-10-15,25391.525369406867,1033358766.974641
2020-10-16,25479.386951092612,1037120513.8032674
2020-10-17,25567.248532778354,1040882260.6318939
2020-10-18,25655.1101144641,1044644007.4605203
2020-10-19,25742.97169614984,1048405754.2891467
2020-10-20,25830.833277835587,1052167501.117773
2020-10-21,25918.694859521333,1055929247.9463996
2020-10-22,26006.556441207074,1059690994.775026
2020-10-23,26094.41802289282,1063452741.6036524
2020-10-24,26182.27960457856,1067214488.4322789
2020-10-25,26270.141186264307,1070976235.2609053
2020-10-26,26358.00276795005,1074737982.0895317
2020-10-27,26445.864349635794,1078499728.918158
2020-10-28,26533.72593132154,1082261475.7467844
2020-10-29,26621.58751300728,1086023222.575411
2020-10-30,26709.449094693027,1089784969.4040375
2020-10-31,26797.310676378773,1093546716.2326639
2020-11-01,26885.172258064515,1097308463.0612903
2020-11-02,27137.03051612903,1109460394.3790646
2020-11-03,27388.888774193547,1121612325.6968386
2020-11-04,27640.747032258063,1133764257.014613
2020-11-05,27892.60529032258,1145916188.332387
2020-11-06,28144.463548387095,1158068119.6501613
2020-11-07,28396.32180645161,1170220050.9679353
2020-11-08,28648.180064516127,1182371982.2857096
2020-11-09,28900.038322580644,1194523913.603484
2020-11-10,29151.89658064516,1206675844.921258
2020-11-11,29403.754838709676,1218827776.2390323
2020-11-12,29655.613096774192,1230979707.5568063
2020-11-13,29907.471354838708,1243131638.8745806
2020-11-14,30159.329612903224,1255283570.1923547
2020-11-15,30411.18787096774,1267435501.510129
2020-11-16,30663.046129032256,1279587432.8279033
2020-11-17,30914.904387096773,1291739364.1456773
2020-11-18,31166.76264516129,1303891295.4634516
2020-11-19,31418.620903225805,1316043226.7812257
2020-11-20,31670.47916129032,1328195158.099
2020-11-21,31922.337419354837,1340347089.416774
2020-11-22,32174.195677419353,1352499020.7345483
2020-11-23,32426.05393548387,1364650952.0523224
2020-11-24,32677.912193548385,1376802883.3700967
2020-11-25,32929.7704516129,1388954814.687871
2020-11-26,33181.62870967742,1401106746.005645
2020-11-27,33433.486967741934,1413258677.3234193
2020-11-28,33685.34522580645,1425410608.6411934
2020-11-29,33937.203483870966,1437562539.9589677
2020-11-30,34189.06174193548,1449714471.276742
2020-12-01,34440.92,1461866402.594516
2020-12-02,34098.349490114466,1447112231.7403016
2020-12-03,33755.778980228926,1432358060.8860874
2020-12-04,33413.208470343394,1417603890.031873
2020-12-05,33070.637960457854,1402849719.1776586
2020-12-06,32728.06745057232,1388095548.3234444
2020-12-07,32385.496940686782,1373341377.46923
2020-12-08,32042.92643080125,1358587206.6150155
2020-12-09,31700.35592091571,1343833035.760801
2020-12-10,31357.785411030178,1329078864.906587
2020-12-11,31015.21490114464,1314324694.0523725
2020-12-12,30672.644391259106,1299570523.198158
2020-12-13,30330.07388137357,1284816352.3439438
2020-12-14,29987.503371488034,1270062181.4897294
2020-12-15,29644.932861602498,1255308010.635515
2020-12-16,29302.36235171696,1240553839.7813008
2020-12-17,28959.791841831426,1225799668.9270864
2020-12-18,28617.22133194589,1211045498.072872
2020-12-19,28274.650822060354,1196291327.2186575
2020-12-20,27932.080312174818,1181537156.3644433
2020-12-21,27589.50980228928,1166782985.5102289
2020-12-22,27246.939292403746,1152028814.6560144
2020-12-23,26904.368782518213,1137274643.8018003
2020-12-24,26561.798272632674,1122520472.9475858
2020-12-25,26219.22776274714,1107766302.0933714
2020-12-26,25876.6572528616,1093012131.2391572
2020-12-27,25534.08674297607,1078257960.3849428
2020-12-28,25191.51623309053,1063503789.5307283
2020-12-29,24848.945723204997,1048749618.676514
2020-12-30,24506.37521331946,1033995447.8222997
2020-12-31,24163.804703433925,1019241276.9680853
2021-01-01,23821.23419354839,1004487106.113871
2021-01-02,23737.614973985434,1001126363.3677835
2021-01-03,23653.995754422478,997765620.6216961
2021-01-04,23570.376534859523,994404877.8756088
2021-01-05,23486.757315296567,991044135.1295214
2021-01-06,23403.13809573361,987683392.3834339
2021-01-07,23319.518876170656,984322649.6373465
2021-01-08,23235.8996566077,980961906.8912591
2021-01-09,23152.280437044745,977601164.1451718
2021-01-10,23068.66121748179,974240421.3990843
2021-01-11,22985.041997918834,970879678.6529969
2021-01-12,22901.422778355878,967518935.9069095
2021-01-13,22817.803558792923,964158193.160822
2021-01-14,22734.184339229967,960797450.4147347
2021-01-15,22650.56511966701,957436707.6686473
2021-01-16,22566.94590010406,954075964.9225599
2021-01-17,22483.326680541104,950715222.1764724
2021-01-18,22399.70746097815,947354479.430385
2021-01-19,22316.088241415193,943993736.6842976
2021-01-20,22232.469021852237,940632993.9382102
2021-01-21,22148.84980228928,937272251.1921228
2021-01-22,22065.230582726326,933911508.4460354
2021-01-23,21981.61136316337,930550765.699948
2021-01-24,21897.992143600415,927190022.9538605
2021-01-25,21814.37292403746,923829280.2077732
2021-01-26,21730.753704474504,920468537.4616858
2021-01-27,21647.13448491155,917107794.7155983
2021-01-28,21563.515265348593,913747051.9695109
2021-01-29,21479.896045785637,910386309.2234235
2021-01-30,21396.276826222682,907025566.4773362
