Date,Interpolated Demand,Interpolated Total Value
2021-01-15,19593.638116048212,824464155.6183641
2021-01-16,19445.5624201878,818392703.1412797
2021-01-17,19323.175186542678,813438667.0679792
2021-01-18,19227.44561546489,809641879.7316431
2021-01-19,19159.342907306498,807042173.4654514
2021-01-20,19119.83626241955,805679380.6025844
2021-01-21,19109.894881156102,805593333.4762228
2021-01-22,19130.487963868214,806823864.4195467
2021-01-23,19182.58471090793,809410805.7657363
2021-01-24,19267.154322627313,813393989.8479723
2021-01-25,19385.165999378416,818813248.9994346
2021-01-26,19537.588941513284,825708415.553304
2021-01-27,19725.392349383987,834119321.8427603
2021-01-28,19949.545423342563,844085800.2009844
2021-01-29,20211.017363741077,855647682.961156
2021-01-30,20510.77737093158,868844802.4564558
2021-01-31,20849.794645266127,883716991.0200641
2021-02-01,21229.03838709677,900304080.9851613
2021-02-02,21648.742570028462,918614755.0894904
2021-02-03,22106.200260677742,938533097.6890461
2021-02-04,22597.969298914053,959912043.5443857
2021-02-05,23120.60752460682,982604527.4160665
2021-02-06,23670.6727776255,1006463484.0646461
2021-02-07,24244.72289783951,1031341848.2506821
2021-02-08,24839.315725118297,1057092554.7347314
2021-02-09,25451.0090993313,1083568538.2773519
2021-02-10,26076.36086034795,1110622733.6391006
2021-02-11,26711.92884803769,1138108075.580535
2021-02-12,27354.270902269956,1165877498.8622127
2021-02-13,27999.944862914188,1193783938.244691
2021-02-14,28645.508569839814,1221680328.488527
2021-02-15,29287.519862916277,1249419604.3542786
2021-02-16,29922.53658201302,1276854700.602503
2021-02-17,30547.11656699947,1303838551.9937577
2021-02-18,31157.817657745072,1330224093.2886
2021-02-19,31751.197694119262,1355864259.2475872
2021-02-20,32323.814515991486,1380611984.631277
2021-02-21,32872.22596323116,1404320204.2002263
2021-02-22,33392.98987570773,1426841852.7149932
2021-02-23,33882.664093290645,1448029864.9361343
2021-02-24,34337.80645584933,1467737175.6242077
2021-02-25,34754.97480325323,1485816719.5397706
2021-02-26,35130.72697537177,1502121431.4433804
2021-02-27,35461.62081207441,1516504246.0955944
2021-02-28,35744.21415323056,1528818098.2569697
2021-03-01,35975.06483870968,1538915922.6880646
2021-03-02,36151.74597977274,1546693994.9318535
2021-03-03,36275.89177324687,1552221953.660984
2021-03-04,36350.151687350786,1555612778.3305209
2021-03-05,36377.17519030315,1556979448.3955293
2021-03-06,36359.61175032264,1556434943.3110733
2021-03-07,36300.11083562796,1554092242.5322185
2021-03-08,36201.321914437794,1550064325.5140302
2021-03-09,36065.8944549708,1544464171.7115726
2021-03-10,35896.47792544571,1537404760.579911
2021-03-11,35695.721794081175,1528999071.57411
2021-03-12,35466.27552909587,1519360084.1492348
2021-03-13,35210.78859870851,1508600777.7603502
2021-03-14,34931.910471137766,1496834131.8625214
2021-03-15,34632.290614602316,1484173125.910813
2021-03-16,34314.57849732086,1470730739.3602903
2021-03-17,33981.423587512065,1456619951.6660178
2021-03-18,33635.475353394635,1441953742.2830608
2021-03-19,33279.38326318725,1426845090.6664836
2021-03-20,32915.79678510858,1411406976.2713523
2021-03-21,32547.365387377322,1395752378.5527306
2021-03-22,32176.738538212165,1379994276.9656837
2021-03-23,31806.56570583178,1364245650.9652777
2021-03-24,31439.496358454868,1348619480.0065756
2021-03-25,31078.1799643001,1333228743.5446439
2021-03-26,30725.265991586162,1318186421.0345464
2021-03-27,30383.403908531756,1303605491.931349
2021-03-28,30055.24318335555,1289598935.6901162
2021-03-29,29743.433284276223,1276279731.7659128
2021-03-30,29450.623679512486,1263760859.6138039
2021-03-31,29179.463837282994,1252155298.6888545
2021-04-01,28932.60322580645,1241576028.446129
2021-04-02,28712.11444058238,1232111636.1192722
2021-04-03,28517.762586233668,1223753140.0562453
2021-04-04,28348.73589466406,1216467166.383588
2021-04-05,28204.22259777728,1210220341.2278407
2021-04-06,28083.410927477074,1204979290.7155442
2021-04-07,27985.489115667173,1200710640.9732387
2021-04-08,27909.64539425131,1197381018.127464
2021-04-09,27855.06799513322,1194957048.304761
2021-04-10,27820.94515021664,1193405357.63167
2021-04-11,27806.465091405313,1192692572.2347307
2021-04-12,27810.816050602956,1192785318.2404842
2021-04-13,27833.186259713315,1193650221.7754703
2021-04-14,27872.763950640132,1195253908.96623
2021-04-15,27928.737355287125,1197563005.9393027
2021-04-16,28000.294705558044,1200544138.8212292
2021-04-17,28086.624233356622,1204163933.73855
2021-04-18,28186.914170586588,1208389016.817805
2021-04-19,28300.35274915168,1213186014.185535
2021-04-20,28426.128200955634,1218521551.9682796
2021-04-21,28563.428757902184,1224362256.29258
2021-04-22,28711.442651895064,1230674753.284976
2021-04-23,28869.358114838018,1237425669.072008
2021-04-24,29036.363378634767,1244581629.7802165
2021-04-25,29211.64667518906,1252109261.5361416
2021-04-26,29394.39623640462,1259975190.4663234
2021-04-27,29583.800294185192,1268146042.6973028
2021-04-28,29779.047080434506,1276588444.35562
2021-04-29,29979.324827056298,1285269021.567815
2021-04-30,30183.8217659543,1294154400.4604282
2021-05-01,30391.726129032257,1303211207.16
2021-05-02,30602.26791709966,1312406990.6087298
2021-05-03,30814.84420658907,1321712991.0114515
2021-05-04,31028.893842838817,1331101371.3886585
2021-05-05,31243.855671187222,1340544294.7608438
2021-05-06,31459.168536972615,1350013924.1485004
2021-05-07,31674.271285533316,1359482422.5721216
2021-05-08,31888.602762207654,1368921953.0522008
2021-05-09,32101.601812333956,1378304678.6092308
2021-05-10,32312.707281250547,1387602762.2637045
2021-05-11,32521.35801429575,1396788367.0361154
2021-05-12,32726.992856807887,1405833655.9469569
2021-05-13,32929.0506541253,1414710792.0167215
2021-05-14,33126.97025158629,1423391938.2659025
2021-05-15,33320.19049452919,1431849257.714993
2021-05-16,33508.15022829235,1440054913.3844864
2021-05-17,33690.28829821406,1447981068.2948759
2021-05-18,33866.04354963267,1455599885.466654
2021-05-19,34034.85482788649,1462883527.9203146
2021-05-20,34196.16097831386,1469804158.67635
2021-05-21,34349.40084625309,1476333940.7552543
2021-05-22,34494.01327704252,1482445037.17752
2021-05-23,34629.43711602047,1488109610.9636402
2021-05-24,34755.11120852526,1493299825.1341083
2021-05-25,34870.47439989522,1497987842.7094173
2021-05-26,34974.96553546867,1502145826.7100601
2021-05-27,35068.02346058395,1505745940.1565304
2021-05-28,35149.08702057937,1508760346.069321
2021-05-29,35217.59506079326,1511161207.468925
